hbzId	zdbId
HT014986444	2268730-0
HT014986546	2268832-8
HT012982189	2005859-7
HT012982204	2005874-3
HT012982386	2006071-3
HT015594689	2435729-7
HT012982460	2006146-8
HT015594710	2435113-1
HT012982542	2006242-4
HT018545348	2811229-5
HT015594889	2434954-9
HT015595166	2435280-9
HT013473033	2090942-1
HT013475896	2089707-8
HT013523575	2094983-2
HT015595920	2436139-2
HT012982842	2006553-X
HT018546852	2811416-4
HT013830854	2123976-9
HT013830857	2123979-4
HT013830858	2123980-0
HT013831012	2124134-X
HT014977904	2267156-0
HT014977908	2267160-2
HT013831016	2124138-7
HT013831145	2124268-9
HT013831303	2124427-3
HT013783711	2117846-X
HT013783871	2118008-8
HT013783872	2118009-X
HT013783895	2118032-5
HT013784011	2118148-2
HT019126072	2871596-2
HT018551404	2811880-7
HT018551416	2811891-1
HT013523573	2094981-9
HT018671137	2824854-5
HT018958804	2854222-8
HT015594663	2435879-4
HT015595411	2435568-9
HT015595588	2435782-0
HT015594765	2435539-2
HT012981751	2005407-5
HT018637937	2820789-0
HT018545340	2811222-2
HT012981924	2005588-2
HT014986060	2268330-6
HT014986214	2268494-3
HT016910747	2619712-1
HT012982167	2005836-6
HT018546853	2811411-5
HT018555169	2812377-3
HT016196598	2531631-X
HT016196732	2531788-X
HT018701486	2828345-4
HT018701488	2828329-6
HT018701490	2828328-4
HT015603656	2436725-4
HT018631565	2820142-5
HT018702645	2828542-6
HT018631568	2820151-6
HT018548576	2811661-6
HT015603660	2436729-1
HT016910746	2619711-X
HT018674800	2825260-3
HT016910754	2619719-4
HT014977889	2267141-9
HT014977895	2267147-X
HT014978057	2267313-1
HT014978247	2267510-3
HT014978388	2267657-0
HT013830865	2123987-3
HT013524068	2095484-0
HT018635070	2820429-3
HT013831298	2124422-4
HT013831529	2124657-9
HT018548572	2811658-6
HT013783848	2117984-0
HT017047979	2638151-5
HT017048138	2638322-6
HT013783854	2117990-6
HT014578285	2211957-7
HT018636367	2820661-7
HT018677707	2825615-3
HT018677708	2825633-5
HT018677712	2825632-3
HT016199698	184370-9
HT016187284	2530105-6
HT018551550	2811920-4
HT016187306	2530128-7
HT018637199	2820707-5
HT016187741	2530635-2
HT016188084	2531019-7
HT016188095	2531030-6
HT016320975	2548440-0
HT016320987	2548452-7
HT016320990	2548455-2
HT018708984	2829350-2
HT016187285	2530106-8
HT016187310	2530133-0
HT019147680	2873823-8
HT018637931	2820793-2
HT018658369	2823131-4
HT015594688	2435432-6
HT014986196	2268471-2
HT016853456	2612227-3
HT014986198	2268474-8
HT016188101	2531036-7
HT014986736	2269030-X
HT018671157	2824873-9
HT019148853	2874040-3
HT018638910	2820945-X
HT015594991	2435062-X
HT016894470	2617872-2
HT015595197	2435312-7
HT018964873	2854787-1
HT015595610	2435804-6
HT013524118	2095534-0
HT015594683	2435532-X
HT015594695	2435731-5
HT015594697	2435741-8
HT018545338	2811219-2
HT015594732	2435139-8
HT015594896	2434961-6
HT015594900	2434966-5
HT013475889	2089699-2
HT015595182	2435297-4
HT015595199	2435314-0
HT013831007	2124129-6
HT013523924	2095334-3
HT014978397	2267666-1
HT013831149	2124272-0
HT013831416	2124543-5
HT013831427	2124554-X
HT013831431	2124558-7
HT014978570	2267848-7
HT018631569	2820150-4
HT018631580	2820159-0
HT016941838	2623631-X
HT013783710	2117845-8
HT016941850	2623643-6
HT016942183	2623996-6
HT013783862	2117998-0
HT019126217	2871624-3
HT016942345	2624175-4
HT016942349	2624179-1
HT014540753	2208210-4
HT014578289	2211961-9
HT012981702	2005356-3
HT014540756	2208213-X
HT019140920	2873198-0
HT018635117	2820486-4
HT012982196	2005866-4
HT012982201	2005871-8
HT019143023	2873459-2
HT019143027	2873460-9
HT016320498	2547903-9
HT012982457	2006143-2
HT012982673	2006376-3
HT018636022	2820598-4
HT012982762	2006469-X
HT012982848	2006559-0
HT018636373	2820670-8
HT015594777	2434839-9
HT012983059	2006779-3
HT015594790	2434853-3
HT015595359	2435506-9
HT018637510	2820740-3
HT018637938	2820795-6
HT018637941	2820800-6
HT018637946	2820805-5
HT013523590	2094998-4
HT013523945	2095355-0
HT014986207	2268487-6
HT016942358	2624189-4
HT014986582	2268872-9
HT014986755	2269050-5
HT012981773	2005431-2
HT016199748	756475-2
HT013831316	2124440-6
HT012982186	2005856-1
HT014540913	2208374-1
HT013831435	2124562-9
HT013831437	2124564-2
HT013831534	2124662-2
HT015594774	2434836-3
HT015595479	2435647-5
HT015595635	2435831-9
HT012982327	2006005-1
HT018555274	2812489-3
HT014977918	2267170-5
HT016196766	2531843-3
HT016196775	2531853-6
HT014978412	2267681-8
HT013523953	2095363-X
HT012982545	2006245-X
HT013523963	2095374-4
HT013523966	2095377-X
HT012982674	2006377-5
HT012982675	2006378-7
HT016017597	2508308-9
HT018631590	2820174-7
HT018631595	2820175-9
HT016320695	2548110-1
HT016321019	2548485-0
HT018637202	2820711-7
HT016187897	2530825-7
HT016187910	2530840-3
HT016320464	2547869-2
HT016188124	2531061-6
HT016188128	2531065-3
HT016320500	2547905-2
HT014985772	2268036-6
HT016853156	2611889-0
HT016893717	2617071-1
HT016893718	2617072-3
HT016321005	2548471-0
HT016893792	2617146-6
HT018637505	2820743-9
HT012872667	2032270-7
HT016853512	2612283-2
HT016853513	2612284-4
HT015595024	2435102-7
HT014986036	2268306-9
HT016853515	2612287-X
HT015595422	2435579-3
HT015595647	2435844-7
HT014986206	2268482-7
HT014986440	2268726-9
HT015595811	2436025-9
HT014986443	2268729-4
HT014986448	2268734-8
HT014986557	2268843-2
HT013523978	2095389-6
HT013523979	2095390-2
HT013475893	2089704-2
HT013830849	2123971-X
HT013830861	2123983-6
HT018964086	2854741-X
HT014977903	2267155-9
HT014977909	2267161-4
HT014978560	2267835-9
HT013831430	2124557-5
HT018631578	2820162-0
HT018671867	2824928-8
HT013783902	2118039-8
HT013524006	2095417-7
HT013784014	2118151-2
HT013784157	2118298-X
HT013784159	2118300-4
HT013524037	2095452-9
HT018545328	2811208-8
HT018634305	2820257-0
HT012982383	2006068-3
HT016320496	2547901-5
HT016320502	2547907-6
HT016320701	2548132-0
HT016196465	2531450-6
HT016196468	2531453-1
HT014540831	2208291-8
HT012982885	2006597-8
HT016196478	2531463-4
HT016196604	2531637-0
HT012982948	2006661-2
HT014540908	2208369-8
HT016197090	2532190-0
HT012982953	2006666-1
HT015595781	2435993-2
HT018546841	2811396-2
HT012982956	2006669-7
HT018636025	2820605-8
HT018636359	2820649-6
HT019150412	2874239-4
HT019150417	2874243-6
HT018539646	2810164-9
HT013831168	2124291-4
HT013831169	2124292-6
HT013831178	2124301-3
HT018539681	2810209-5
HT018539689	2810211-3
HT019150780	2874294-1
HT019150799	2874313-1
HT018539662	2810187-X
HT019150803	2874325-8
HT013783608	2117743-0
HT018539709	2810236-8
HT018539713	2810240-X
HT013783907	2118044-1
HT018539684	2810203-4
HT018539723	2810249-6
HT014977948	2267201-1
HT018539736	2810261-7
HT013784035	2118173-1
HT014977968	2267221-7
HT018539748	2810276-9
HT018539753	2810278-2
HT013784184	2118326-0
HT014978586	2267865-7
HT016016971	2507625-5
HT016017375	2508074-X
HT016017583	2508293-0
HT018207680	2763031-6
HT018207682	2763015-8
HT016187246	2531150-5
HT016187248	2530147-0
HT016187251	2530300-4
HT018677212	2825605-0
HT018638924	2820955-2
HT018638926	2820965-5
HT016187266	2530086-6
HT016187268	2530088-X
HT016187280	2530100-7
HT016187489	2530360-0
HT016910773	2619738-8
HT016187732	2530626-1
HT016187736	2530630-3
HT016187875	2530802-6
HT016187882	2530809-9
HT016187889	2530817-8
HT016910720	2619684-0
HT016188089	2531024-0
HT016910732	2619697-9
HT016910733	2619698-0
HT016910734	2619699-2
HT016188288	2531253-4
HT018671138	2824848-X
HT013475964	2089780-7
HT016016992	2507646-2
HT016017175	2507850-1
HT016017587	2508298-X
HT018554894	2812310-4
HT013830881	2124003-6
HT013830891	2124013-9
HT013831026	2124148-X
HT014985933	2268201-6
HT013831033	2124155-7
HT014986239	2268519-4
HT014986468	2268754-3
HT014986478	2268764-6
HT013831551	2124679-8
HT014986610	2268900-X
HT016320541	2547947-7
HT014986626	2268917-5
HT016320724	2548158-7
HT016320743	2548178-2
HT013783623	2117758-2
HT016321052	2548518-0
HT013783932	2118069-6
HT015594758	2435129-5
HT015594894	2434959-8
HT015595612	2435806-X
HT015595620	2435814-9
HT014978075	2267331-3
HT016187323	2530148-2
HT014978431	2267702-1
HT016187509	2530381-8
HT016187510	2530382-X
HT016187516	2530388-0
HT018634336	2820271-5
HT016187519	2530392-2
HT016016995	2507649-8
HT016187528	2530401-X
HT016187766	2530660-1
HT016187893	2530821-X
HT016188114	2531049-5
HT016188118	2531053-7
HT013524317	2095743-9
HT013523884	2095293-4
HT012982183	2005853-6
HT016320437	2547842-4
HT018701473	2828340-5
HT012982453	2006139-0
HT013831508	2124636-1
HT013523913	2095323-9
HT012982541	2006241-2
HT016320935	2548395-X
HT016320956	2548418-7
HT019125956	2871517-2
HT012982613	2006315-5
HT013783995	2118132-9
HT013784116	2118256-5
HT018702651	2828549-9
HT014985883	2268151-6
HT014986157	2268431-1
HT014986164	2268438-4
HT019126214	2871629-2
HT019126215	2871633-4
HT012982897	2006609-0
HT018703741	2828597-9
HT012982958	2006672-7
HT014986179	2268454-2
HT018631550	2820135-8
HT014986427	2268711-7
HT014986539	2268825-0
HT012983122	2006847-5
HT012983124	2006850-5
HT016853048	2611779-4
HT016853158	2611891-9
HT018707225	2829140-2
HT016894349	2617742-0
HT014977866	2267117-1
HT016853163	2611896-8
HT016853566	2612356-3
HT014978035	2267291-6
HT018707262	2829154-2
HT014978555	2267830-X
HT018964887	2854804-8
HT018636344	2820637-X
HT013524105	2095521-2
HT013476036	2089853-8
HT013830840	2123962-9
HT018659372	2823341-4
HT013831131	2124254-9
HT013831280	2124403-0
HT013831285	2124408-X
HT013784132	2118272-3
HT013784134	2118274-7
HT013784150	2118290-5
HT016196753	2531827-5
HT012982667	2006370-2
HT019126256	2871682-6
HT013831154	2124277-X
HT018555263	2812478-9
HT013831531	2124659-2
HT013784023	2118160-3
HT013784162	2118303-X
HT016196633	2531668-0
HT016894048	2617428-5
